compound_id	compound_name	evidence_source	evidence_note
cpd00001	H2O	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00002	ATP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00003	NAD	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00004	NADH	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00005	NADPH	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00006	NADP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00007	O2	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00008	ADP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00009	Phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00010	CoA	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00011	CO2	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00012	Pyrophosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00013	Ammonium	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00014	UDP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00015	FAD	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00016	Pyridoxal phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00017	S-Adenosyl-L-methionine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00018	AMP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00019	S-Adenosyl-homocysteine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00020	Pyruvate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00021	Fe2+	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00022	Acetyl-CoA	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
